model,predicted_class,rank,window_idx,piece,actual_instrument,confidence,tokens
bilstm,ซออู้,3,488,ตับต้นเพลงฉิ่ง,ซออู้,1.0,ท ล ซ ร ซ ท ล ซ ท ล ซ ล ท ซ ล ท ล ท รํ ม ล ซ ม ล ท ล ซ ม รํ ท ล ซ ล ท รํ ม ล ซ ม ล ซ ม ล ซ ม ร ซ ม ซ ล ท รํ ท ล ซ ม ซ ล ท ซ ล ท รํ ล
bilstm,ซออู้,4,540,สาธุการ,ซออู้,1.0,ล ล ท ซ ร ซ ล ท ซ ล ท ซ ล ท ดํ รํ ล ท รํ ล ท ล ซ ม ซ ล ท ล รํ ท ล ซ ล ท รํ ม ล ซ ซ ซ ร ม ซ ล ท ซ ล ท ล ท ร ม ร ม ซ ล ท ล ซ ม รํ ท ล ซ
bilstm,ซออู้,5,508,สาธุการ,ซออู้,1.0,ล ล ท ซ ร ซ ล ท ซ ล ท ซ ล ท ดํ รํ ล ท รํ ล ท ล ซ ม ซ ล ท ล รํ ท ล ซ ล ท รํ ม ล ซ ซ ซ ร ม ซ ล ท ซ ล ท ล ท ร ม ร ม ซ ล ท ล ซ ม รํ ท ล ซ
bilstm,ระนาดเอก,1,597,กล่อมนารี,ระนาดเอก,1.0,ฟ ม ร ม ฟ ซ ล ท รํ มํ รํ ท รํ ท ล ซ ฟ ร ม ฟ ซ ม ฟ ซ ฟ ซ ล ซ ฟ ม ร ทฺ ลฺ ทฺ ร ม ร ม ซ ล รํ ท ล ซ ท ล ซ ม ซฺ ลฺ ทฺ ร ลฺ ทฺ ร ม ท ร ม ซ ร ม ซ ล
bilstm,ระนาดเอก,2,605,กล่อมนารี,ระนาดเอก,1.0,ฟ ม ร ม ฟ ซ ล ท รํ มํ รํ ท รํ ท ล ซ ฟ ร ม ฟ ซ ม ฟ ซ ฟ ซ ล ซ ฟ ม ร ทฺ ลฺ ทฺ ร ม ร ม ซ ล รํ ท ล ซ ท ล ซ ม ซฺ ลฺ ทฺ ร ลฺ ทฺ ร ม ท ร ม ซ ร ม ซ ล
bilstm,ระนาดเอก,3,601,กล่อมนารี,ระนาดเอก,1.0,ท ซ ล ท ล ท ดํ รํ ดํ มํ รํ ดํ มํ รํ ดํ ซ รํ ท ล ซ ท ล ดํ ท ดํ รํ ดํ ท ล ท ดํ รํ ดํ ล ซ ม ซ ม ร ด ทฺ ลฺ ซฺ ลฺ ทฺ ด ร ม ร ม ซ ล ม ซ ร ซ ม ร ด ล ซ ม ร ด
bilstm,ระนาดเอก,4,593,กล่อมนารี,ระนาดเอก,1.0,- - ซ ล ท - ดํ - รํ - มํ - รํ - ดํ - ซ - ร - ซ - ล - ท ล ซ ล ท - ดํ - รํ ดํ ล ซ ม ซ ม ร ด ทฺ ลฺ ซฺ ลฺ ทฺ ด ร ม ร ม ซ ล ม ซ ร ซ ม ร ด ล ซ ม ร ด
bilstm,ระนาดเอก,5,783,แขกมอญบางช้าง,ระนาดเอก,1.0,- - - ฟ - ซ ซ ซ - - - ล - ซ ซ ซ ดํ รํ ดํ ล ดํ ล ซ ฟ ด ร ม ฟ ซ ฟ ม ร ซ ล ซ ม ซ ม ร ด ทฺ ลฺ ซฺ ลฺ ท ด ร ม - ฟ - ซ ล ซ ฟ ม ร ด ร ม ร ม ฟ ซ
supcon_inst,ขลุ่ย-ปี่,1,108,สาธุการ,ขลุ่ย-ปี่,0.995,- - - ล รํ - ล ซ ม - ร - ม - - ซ ล - ท - รํ - ท - ล - - - ซ - - ล ซ ม ล ท ดํ รํ ซํ มํ รํ ดํ ท ดํ รํ มํ รํ ดํ ท ล ม ฟ ล ท รํ ท ล - ฟ - ทฺ ท ล ฟ ม ร
supcon_inst,ขลุ่ย-ปี่,2,152,แขกมอญบางช้าง,ขลุ่ย-ปี่,0.994,- - ซ ม - ม ม ม ซ ล ซ ร ซ ม ร ด ร ซ ล ท ดํ มํ รํ ดํ ซ ร ซ มํ รํ ดํ ท ล รํ มํ รํ ท รํ ท ล ซ ล ท รํ ซํ ฟํ มํ รํ ท - รํ - ซํ มํ - รํ - ท - - - ล ท - ล ซ
supcon_inst,ขลุ่ย-ปี่,3,140,สาธุการ,ขลุ่ย-ปี่,0.993,- - - ล รํ - ล ซ ม - ร - ม - - ซ ล - ท - รํ - ท - ล - - - ซ - - ล ซ ม ล ท ดํ รํ ซํ มํ รํ ดํ ท ดํ รํ มํ รํ ดํ ท ล ม ฟ ล ท รํ ท ล - ฟ - ทฺ ท ล ท ดํ รํ
supcon_inst,ขลุ่ย-ปี่,4,16,กล่อมนารี,ขลุ่ย-ปี่,0.992,- - - ม - ซ ซ ซ - - - ล - ซ ซ ซ - มํ - รํ - ดํ - ท ล ซ ล ท - ดํ - รํ - - - ดํ - ดํ - ดํ - ดํ - ร ซํ มํ รํ ดํ - มํ - ซํ - มํ - รํ ซํ มํ รํ ดํ มํ รํ ดํ ท
supcon_inst,ขลุ่ย-ปี่,5,148,แขกมอญบางช้าง,ขลุ่ย-ปี่,0.992,- - - ม - ซ ซ ซ - - - ล - ซ ซ ซ ล ท รํ มํ ร ม ซ ล ท ล ซ ม ซ ล - ซ ท ล ท ซ ล ท ดํ รํ - ดํ - รํ ฟํ มํ รํ ดํ - ซ - ร - ม ซ ฟ ซ - ล ท - ล - ท - ดํ - รํ
supcon_inst,ฆ้องวงใหญ่,1,353,แขกมอญบางช้าง,ฆ้องวงใหญ่,0.995,- ท - ลฺ ล ล - ทฺ ท ท - ร รํ รํ - มํ - - ท ล ท ซ ล ม ซ ม ล ซ ล ม ซ ร - - - ทฺ - ท - ท - รํ - ท - ล - ซ - ม - ลฺ ร ร - ซฺ ซ ซ - ลฺ ล ล - ท
supcon_inst,ฆ้องวงใหญ่,2,354,แขกมอญบางช้าง,ฆ้องวงใหญ่,0.994,- - - ทฺ - ท - ท - รํ - ท - ล - ซ - ม - ลฺ ร ร - ซฺ ซ ซ - ลฺ ล ล - ท - - ซ ล ท - รํ - มํ - ซํ - มํ - รํ - ทํ - รํ - มํ - รํ - ทฺ ท ท - ลฺ ล ล - ซ
supcon_inst,ฆ้องวงใหญ่,3,329,สาธุการ,ฆ้องวงใหญ่,0.993,- - ฟ ม ร - ม - รฺ - ร - ร - ทฺ ท ท - ซ - - ซ ล ท - รํ - มํ - รํ - ท - ล - ท - รํ - ท - ลฺ ล ล - ซฺ ซ ซ - ม - ลฺ - ทฺ - - ด ร ม - มฺ ม ม - ซ - ล
supcon_inst,ฆ้องวงใหญ่,4,297,สาธุการ,ฆ้องวงใหญ่,0.993,- - ฟ ม ร - ม - รฺ - ร - ร - ทฺ ท ท - ซ - - ซ ล ท - รํ - มํ - รํ - ท - ล - ท - รํ - ท - ลฺ ล ล - ซฺ ซ ซ - ม - ลฺ - ทฺ - - ด ร ม - มฺ ม ม - ซ - ล
supcon_inst,ฆ้องวงใหญ่,5,323,สาธุการ,ฆ้องวงใหญ่,0.993,- ร - ซ - - ล ท - รํ - ท - ล - ซ - - ซ ล ท - รํ - มํ - รํ - ดํ - ท - ล - ม - ทฺ ม ร - ม ล ล - ซฺ ซ ซ - ล - รํ - ท - ล - ฟฺ ฟ ฟ - มฺ ม ม - ร
supcon_inst,ซออู้,1,581,โหมโรงมหาฤกษ์,ซออู้,0.994,ซ ล ซ ท ล ท ร ม ซ ล ซ ร ซ ม ร ท ซ ท ล ท รํ ซ ล ท ซ ล ท ล รํ ท ล ซ ร ร ร ร - ซ - ซ ล ล ล ล - ท - ท ล ท ดํ รํ ดํ ท ล ท ล ซ ฟ ม ซฺ ฟ ม ร
supcon_inst,ซออู้,2,395,กล่อมนารี,ซออู้,0.991,ร ม ฟ ซ ดํ ล ซ ฟ ม ฟ ซ ล ซ ฟ ม ร ดํ ล ซ ม ฟ ซ ล ร ฟ ม ร ม ฟ ซ ล ท รํ ม ซ ล รํ ท ล ซ ท ล ซ ล ท ล รํ ท ล ซ ร ซ ล ท ดํ รํ ซ ร ซ ดํ รํ ดํ ท ล
supcon_inst,ซออู้,3,573,แขกมอญบางช้าง,ซออู้,0.991,ซ ล ซ ซ ร ม ร ร ม ด ร ม ร ม ฟ ซ ล ซ ฟ ซ - ล - ท ดํ รํ ดํ ท - ล - ซ - - ซ ซ - ซ - ซ ร ซ รํ ซ ล ท ดํ ร ร ม ซ ล ดํ ซ - ล ซ ล ด รํ ม ด - ร
supcon_inst,ซออู้,4,442,จีนขิมเล็ก,ซออู้,0.991,- - - - - ซ - ด - - ร ม - ซ - ร - - - - ม ซ ล ดํ ซ ด ร ม ร ม ซ ร ม ซ ล ซ ม ร ด ล ดํ ล ดํ ซ ม ซ ล ดํ รํ ล รํ ดํ ล ดํ ล ซ ดํ ล ซ ม ซ ดํ ล ซ
supcon_inst,ซออู้,5,462,ตับต้นเพลงฉิ่ง,ซออู้,0.99,ร ซ ล ท ม ล ท ดํ ฟ ท ดํ รํ ซ ด ร ม ร ดํ ม ซ ดํ ล ซ ม ล ซ ด ร ซ ม ร ด ซ ล ท ดํ ท ล ท ดํ ท ล รํ ดํ ท ล ท ดํ ร ม ซ ล ซ ล ดํ รํ ดํ ล ดํ ซ ม ซ ล ดํ
supcon_inst,ระนาดเอก,1,652,จีนขิมเล็ก,ระนาดเอก,0.994,ด ร ม ซ ร ม ซ ล ม ซ ล ท ดํ มํ รํ ดํ ร ม ซ ล ซํ มํ - รํ มํ รํ ดํ ล - ซ - ดํ - - - ล ดํ ดํ ดํ ดํ - - - รํ ดํ ดํ ดํ ดํ - มํ - ล ซ มํ - รํ - - - ดํ มํ รํ ดํ ล
supcon_inst,ระนาดเอก,2,782,แขกมอญบางช้าง,ระนาดเอก,0.994,ท ซ ล ท ล ท รํ มํ ซํ รํ มํ รํ ซํ มํ ร ท รํ ท ล ซ ล ท ล ท รํ มํ รํ ท รํ ท ล ซ - - - ฟ - ซ ซ ซ - - - ล - ซ ซ ซ ดํ รํ ดํ ล ดํ ล ซ ฟ ด ร ม ฟ ซ ฟ ม ร
supcon_inst,ระนาดเอก,3,650,จีนขิมเล็ก,ระนาดเอก,0.993,รํ ดํ มํ รํ มํ ดํ รํ ล ดํ ล รํ ด รํ ล ดํ ซ ม ด ร ม ร ม ซ ล ซ ล ดํ รํ ดํ ล ดํ ซ รํ ดํ ล ซ ดํ ล ซ ม ล ซ ม ร ซ ม ร ด ทฺ ซฺ ลฺ ทฺ ด ลฺ ทฺ ด ร ทฺ ด ร ม ด ร ม
supcon_inst,ระนาดเอก,4,646,จีนขิมเล็ก,ระนาดเอก,0.993,รํ ดํ มํ รํ มํ ดํ รํ ล ดํ ล รํ ด รํ ล ดํ ซ ม ด ร ม ร ม ซ ล ซ ล ดํ รํ ดํ ล ดํ ซ รํ ดํ ล ซ ดํ ล ซ ม ล ซ ม ร ซ ม ร ด ทฺ ซฺ ลฺ ทฺ ด ลฺ ทฺ ด ร ทฺ ด ร ม ด ร ม
supcon_inst,ระนาดเอก,5,660,จีนขิมเล็ก,ระนาดเอก,0.993,รํ ดํ มํ รํ มํ ดํ รํ ล ดํ ล รํ ด รํ ล ดํ ซ ม ด ร ม ร ม ซ ล ซ ล ดํ รํ ดํ ล ดํ ซ รํ ดํ ล ซ ดํ ล ซ ม ล ซ ม ร ซ ม ร ด ทฺ ซฺ ลฺ ทฺ ด ลฺ ทฺ ด ร ทฺ ด ร ม ด ร ม
ssl_a,ขลุ่ย-ปี่,1,149,แขกมอญบางช้าง,ขลุ่ย-ปี่,0.971,ท ล ท ซ ล ท ดํ รํ - ดํ - รํ ฟํ มํ รํ ดํ - ซ - ร - ม ซ ฟ ซ - ล ท - ล - ท - ดํ - รํ - - - ม - ม ม ม ซ ล ซ ร ซ ม ร ด ซ ร ซ ล รํ ล ท ดํ ท ดํ รํ ดํ ท ล ซ ม
ssl_a,ขลุ่ย-ปี่,2,414,กล่อมนารี,ซออู้,0.961,- - ร ม ฟ ซ ล ท - - รํ มํ รํ ดํ ท ล - - รํ มํ รํ ท ล ซ ท ล รํ ท - - - - รํ ล รํ ดํ ท ล ซ ม ซ ล ท ซ ล ท - ล - ร - ซ ท ล ซ ล ท - รํ - ท - ล - ซ
ssl_a,ขลุ่ย-ปี่,3,152,แขกมอญบางช้าง,ขลุ่ย-ปี่,0.959,- - ซ ม - ม ม ม ซ ล ซ ร ซ ม ร ด ร ซ ล ท ดํ มํ รํ ดํ ซ ร ซ มํ รํ ดํ ท ล รํ มํ รํ ท รํ ท ล ซ ล ท รํ ซํ ฟํ มํ รํ ท - รํ - ซํ มํ - รํ - ท - - - ล ท - ล ซ
ssl_a,ขลุ่ย-ปี่,4,148,แขกมอญบางช้าง,ขลุ่ย-ปี่,0.954,- - - ม - ซ ซ ซ - - - ล - ซ ซ ซ ล ท รํ มํ ร ม ซ ล ท ล ซ ม ซ ล - ซ ท ล ท ซ ล ท ดํ รํ - ดํ - รํ ฟํ มํ รํ ดํ - ซ - ร - ม ซ ฟ ซ - ล ท - ล - ท - ดํ - รํ
ssl_a,ขลุ่ย-ปี่,5,150,แขกมอญบางช้าง,ขลุ่ย-ปี่,0.947,- - - ม - ม ม ม ซ ล ซ ร ซ ม ร ด ซ ร ซ ล รํ ล ท ดํ ท ดํ รํ ดํ ท ล ซ ม ซ ด ร ม ร ม ซ - ดํ - มํ รํ ดํ ท ล ซ ม ล ดํ ซ ล ม ซ ร ซ ม ร ด ม ร ด ร ด
ssl_a,ฆ้องวงใหญ่,1,200,กล่อมนารี,ฆ้องวงใหญ่,0.987,- - ด ร ม - ซ - ล - ท - ล - ซ - ม - ม - ลฺ ร ร - ทฺ ม ม - ซ ล ล - ท - รํ - ท - ล - ซฺ ซ ซ - ลฺ ล ล - ท - รํ - มํ - รํ - ทฺ ท ท - ลฺ ล ล - ซ
ssl_a,ฆ้องวงใหญ่,2,354,แขกมอญบางช้าง,ฆ้องวงใหญ่,0.986,- - - ทฺ - ท - ท - รํ - ท - ล - ซ - ม - ลฺ ร ร - ซฺ ซ ซ - ลฺ ล ล - ท - - ซ ล ท - รํ - มํ - ซํ - มํ - รํ - ทํ - รํ - มํ - รํ - ทฺ ท ท - ลฺ ล ล - ซ
ssl_a,ฆ้องวงใหญ่,3,287,ตับต้นเพลงฉิ่ง,ฆ้องวงใหญ่,0.978,- ท - รํ - ท - ลฺ ล ล - ซฺ ซ ซ - ม - ม - ลฺ ร ร - ทฺ ม ม - ซฺ ซ ซ - ล - รํ - ท - ล - ซฺ ซ ซ - ลฺ ล ล - ท - รํ - มํ - รํ - ทฺ ท ท - ลฺ ล ล - ซ
ssl_a,ฆ้องวงใหญ่,4,283,ตับต้นเพลงฉิ่ง,ฆ้องวงใหญ่,0.978,- ท - รํ - ท - ลฺ ล ล - ซฺ ซ ซ - ม - ม - ลฺ ร ร - ทฺ ม ม - ซฺ ซ ซ - ล - รํ - ท - ล - ซฺ ซ ซ - ลฺ ล ล - ท - รํ - มํ - รํ - ทฺ ท ท - ลฺ ล ล - ซ
ssl_a,ฆ้องวงใหญ่,5,353,แขกมอญบางช้าง,ฆ้องวงใหญ่,0.976,- ท - ลฺ ล ล - ทฺ ท ท - ร รํ รํ - มํ - - ท ล ท ซ ล ม ซ ม ล ซ ล ม ซ ร - - - ทฺ - ท - ท - รํ - ท - ล - ซ - ม - ลฺ ร ร - ซฺ ซ ซ - ลฺ ล ล - ท
ssl_a,ซออู้,1,547,แขกมอญบางช้าง,ซออู้,0.984,ท ล ท ซ ล ท ดํ รํ ดํ ท ดํ รํ ดํ ท ล ซ ร ม ร ซ รํ ซ ล ท ล ซ ร ซ ล ท ดํ รํ ซ ล ซ ดํ ท ล ซ ม ฟ ซ ล ซ ฟ ม ร ด ร ม ซ ล ดํ ล รํ ดํ ท ล ซ ม ร ด ร ม
ssl_a,ซออู้,2,573,แขกมอญบางช้าง,ซออู้,0.976,ซ ล ซ ซ ร ม ร ร ม ด ร ม ร ม ฟ ซ ล ซ ฟ ซ - ล - ท ดํ รํ ดํ ท - ล - ซ - - ซ ซ - ซ - ซ ร ซ รํ ซ ล ท ดํ ร ร ม ซ ล ดํ ซ - ล ซ ล ด รํ ม ด - ร
ssl_a,ซออู้,3,554,แขกมอญบางช้าง,ซออู้,0.97,ซ ล ท รํ ดํ ท ล ดํ ท ล ซ ท ล ซ ร ซ ฟ ม ร ด ร ม ฟ ซ ฟ ม ร ม ฟ ซ ล ท รํ ท ล ซ ท ล ซ ม ฟ ม ร ซ รํ ซ ล - ท - ร ม ซ ล ท รํ ท ล ซ ท ล ซ ล ซ
ssl_a,ซออู้,4,572,แขกมอญบางช้าง,ซออู้,0.97,- ซ ล ท ล ท รํ ล ท ล ซ ม ซ ท ล ซ ซ ล ซ ซ ร ม ร ร ม ด ร ม ร ม ฟ ซ ซ ล ซ ซ ร ม ร ร ม ด ร ม ร ม ฟ ซ ล ซ ฟ ซ - ล - ท ดํ รํ ดํ ท - ล - ซ
ssl_a,ซออู้,5,563,แขกมอญบางช้าง,ซออู้,0.968,- - - ซ - - - ด - - - ร - ด - ม ร ม ซ ล ดํ ล ซ ม ล ซ ม ร ซ ม ร ด ร ซ ล ท ล ท ดํ รํ ซ ล ท ดํ รํ ดํ ท ล - ท - ล - ซ - ม ซ ล ท ล รํ ท ล ซ
ssl_a,ระนาดเอก,1,786,แขกมอญบางช้าง,ระนาดเอก,0.975,ซ ล ซ ม ซ ม ร ด ทฺ ลฺ ซฺ ลฺ ท ด ร ม ร ม ฟ ซ ล ซ ฟ ม ร ด ร ม ร ม ฟ ซ ดํ รํ ดํ ล ดํ ล ซ ฟ ม ร ด ร ซ ซ - ล ซ ล ดํ รํ ฟํ รํ ดํ ล รํ ดํ ล ซ ดํ ล ซ ฟ
ssl_a,ระนาดเอก,2,781,แขกมอญบางช้าง,ระนาดเอก,0.973,ล ซ ม ร ซ ม ร ทฺ ม ร ทฺ ลฺ ร ทฺ ลฺ ซฺ - ทฺ ร ม ซ ร ม ซ ร ม ซ ล ท ซ ล ท ท ซ ล ท ล ท รํ มํ ซํ รํ มํ รํ ซํ มํ ร ท รํ ท ล ซ ล ท ล ท รํ มํ รํ ท รํ ท ล ซ
ssl_a,ระนาดเอก,3,780,แขกมอญบางช้าง,ระนาดเอก,0.963,ร ลฺ ลฺ ลฺ ร ทฺ ลฺ ทฺ ม ร ท ร ม ร ซ ม รํ ท รํ ล ท ซ ล ม ร ม ซ ล ซ ม ซ ร ล ซ ม ร ซ ม ร ทฺ ม ร ทฺ ลฺ ร ทฺ ลฺ ซฺ - ทฺ ร ม ซ ร ม ซ ร ม ซ ล ท ซ ล ท
ssl_a,ระนาดเอก,4,774,แขกมอญบางช้าง,ระนาดเอก,0.962,- ซ ล ท - ดํ - รํ - มํ - รํ - ดํ - ซ - ร - ซ - ล - ท - ซ ล ท - ดํ - รํ ซ ม ม ม ซ ด ร ม ซ ล ซ ม ซ ม ร ด ทฺ ซฺ ลฺ ทฺ ด ม ร ด ทฺ ลฺ ซฺ ลฺ ทฺ ด ร ม
ssl_a,ระนาดเอก,5,601,กล่อมนารี,ระนาดเอก,0.961,ท ซ ล ท ล ท ดํ รํ ดํ มํ รํ ดํ มํ รํ ดํ ซ รํ ท ล ซ ท ล ดํ ท ดํ รํ ดํ ท ล ท ดํ รํ ดํ ล ซ ม ซ ม ร ด ทฺ ลฺ ซฺ ลฺ ทฺ ด ร ม ร ม ซ ล ม ซ ร ซ ม ร ด ล ซ ม ร ด
